starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:13 2023	1697253493	0	836	836	528
Fri Oct 13 20:18:13 2023	1697253493	1	836	836	508
Fri Oct 13 20:18:13 2023	1697253493	1	836	837	708
Fri Oct 13 20:18:14 2023	1697253494	0	837	837	691
Fri Oct 13 20:18:14 2023	1697253494	1	837	838	659
Fri Oct 13 20:18:14 2023	1697253494	1	837	838	680
Fri Oct 13 20:18:11 2023	1697253491	0	838	838	439
Fri Oct 13 20:18:14 2023	1697253494	0	838	838	354
Fri Oct 13 20:18:10 2023	1697253490	1	838	839	416
Fri Oct 13 20:18:13 2023	1697253493	1	838	839	545
Fri Oct 13 20:18:15 2023	1697253495	0	839	839	830
Fri Oct 13 20:18:05 2023	1697253485	0	839	839	375
Fri Oct 13 20:18:13 2023	1697253493	0	839	839	514
Fri Oct 13 20:18:14 2023	1697253494	0	840	840	704
